Chr	width	gene_id	gene_name	gene_type	type	GENEID
chr1	465598	ENSMUSG00000051951	Xkr4	protein_coding	gene	ENSMUSG00000051951
chr1	46967	ENSMUSG00000089699	Gm1992	lncRNA	gene	ENSMUSG00000089699
chr1	11596	ENSMUSG00000102331	Gm19938	lncRNA	gene	ENSMUSG00000102331
chr1	80477	ENSMUSG00000102343	Gm37381	lncRNA	gene	ENSMUSG00000102343
chr1	409685	ENSMUSG00000025900	Rp1	protein_coding	gene	ENSMUSG00000025900
chr1	6424	ENSMUSG00000025902	Sox17	protein_coding	gene	ENSMUSG00000025902
chr1	3008	ENSMUSG00000104238	Gm37587	lncRNA	gene	ENSMUSG00000104238
chr1	3124	ENSMUSG00000104328	Gm37323	lncRNA	gene	ENSMUSG00000104328
chr1	12534	ENSMUSG00000033845	Mrpl15	protein_coding	gene	ENSMUSG00000033845
chr1	1370	ENSMUSG00000120403	A930006A01Rik	lncRNA	gene	ENSMUSG00000120403
chr1	40623	ENSMUSG00000025903	Lypla1	protein_coding	gene	ENSMUSG00000025903
chr1	40096	ENSMUSG00000033813	Tcea1	protein_coding	gene	ENSMUSG00000033813
chr1	160710	ENSMUSG00000002459	Rgs20	protein_coding	gene	ENSMUSG00000002459
chr1	5964	ENSMUSG00000085623	Gm16041	lncRNA	gene	ENSMUSG00000085623
chr1	92512	ENSMUSG00000033793	Atp6v1h	protein_coding	gene	ENSMUSG00000033793
chr1	17666	ENSMUSG00000025905	Oprk1	protein_coding	gene	ENSMUSG00000025905
chr1	3692	ENSMUSG00000033774	Npbwr1	protein_coding	gene	ENSMUSG00000033774
chr1	51165	ENSMUSG00000090031	4732440D04Rik	lncRNA	gene	ENSMUSG00000090031
chr1	70452	ENSMUSG00000025907	Rb1cc1	protein_coding	gene	ENSMUSG00000025907
chr1	35514	ENSMUSG00000087247	Alkal1	protein_coding	gene	ENSMUSG00000087247
chr1	373710	ENSMUSG00000033740	St18	protein_coding	gene	ENSMUSG00000033740
chr1	602	ENSMUSG00000120372	Gm57122	lncRNA	gene	ENSMUSG00000120372
chr1	84709	ENSMUSG00000051285	Pcmtd1	protein_coding	gene	ENSMUSG00000051285
chr1	48464	ENSMUSG00000097797	Gm26901	lncRNA	gene	ENSMUSG00000097797
chr1	20182	ENSMUSG00000103067	Gm30414	lncRNA	gene	ENSMUSG00000103067
chr1	938405	ENSMUSG00000025909	Sntg1	protein_coding	gene	ENSMUSG00000025909
chr1	2048	ENSMUSG00000061024	Rrs1	protein_coding	gene	ENSMUSG00000061024
chr1	32726	ENSMUSG00000025911	Adhfe1	protein_coding	gene	ENSMUSG00000025911
chr1	70702	ENSMUSG00000079671	2610203C22Rik	lncRNA	gene	ENSMUSG00000079671
chr1	25945	ENSMUSG00000067879	Vxn	protein_coding	gene	ENSMUSG00000067879
chr1	1328	ENSMUSG00000099827	Gm29520	lncRNA	gene	ENSMUSG00000099827
chr1	32795	ENSMUSG00000025912	Mybl1	protein_coding	gene	ENSMUSG00000025912
chr1	29761	ENSMUSG00000045210	Vcpip1	protein_coding	gene	ENSMUSG00000045210
chr1	44280	ENSMUSG00000097893	1700034P13Rik	lncRNA	gene	ENSMUSG00000097893
chr1	102739	ENSMUSG00000025915	Sgk3	protein_coding	gene	ENSMUSG00000025915
chr1	87590	ENSMUSG00000098234	Snhg6	lncRNA	gene	ENSMUSG00000098234
chr1	33448	ENSMUSG00000046101	Mcmdc2	protein_coding	gene	ENSMUSG00000046101
chr1	7770	ENSMUSG00000099032	Tcf24	protein_coding	gene	ENSMUSG00000099032
chr1	40513	ENSMUSG00000025916	Ppp1r42	protein_coding	gene	ENSMUSG00000025916
chr1	9980	ENSMUSG00000087199	Gm15818	lncRNA	gene	ENSMUSG00000087199
chr1	2075	ENSMUSG00000121270	Gm57177	lncRNA	gene	ENSMUSG00000121270
chr1	13568	ENSMUSG00000025917	Cops5	protein_coding	gene	ENSMUSG00000025917
chr1	98782	ENSMUSG00000056763	Cspp1	protein_coding	gene	ENSMUSG00000056763
chr1	95100	ENSMUSG00000067851	Arfgef1	protein_coding	gene	ENSMUSG00000067851
chr1	395226	ENSMUSG00000042501	Cpa6	protein_coding	gene	ENSMUSG00000042501
chr1	310217	ENSMUSG00000048960	Prex2	protein_coding	gene	ENSMUSG00000048960
chr1	561797	ENSMUSG00000057715	A830018L16Rik	protein_coding	gene	ENSMUSG00000057715
chr1	5528	ENSMUSG00000097171	Gm17644	lncRNA	gene	ENSMUSG00000097171
chr1	853	ENSMUSG00000101314	Gm29663	lncRNA	gene	ENSMUSG00000101314
chr1	168916	ENSMUSG00000016918	Sulf1	protein_coding	gene	ENSMUSG00000016918
chr1	126102	ENSMUSG00000025938	Slco5a1	protein_coding	gene	ENSMUSG00000025938
chr1	9825	ENSMUSG00000099498	Gm29283	lncRNA	gene	ENSMUSG00000099498
chr1	13707	ENSMUSG00000042414	Prdm14	protein_coding	gene	ENSMUSG00000042414
chr1	234979	ENSMUSG00000005886	Ncoa2	protein_coding	gene	ENSMUSG00000005886
chr1	12344	ENSMUSG00000101476	Gm29570	lncRNA	gene	ENSMUSG00000101476
chr1	25213	ENSMUSG00000025935	Tram1	protein_coding	gene	ENSMUSG00000025935
chr1	3499	ENSMUSG00000120948	Gm57152	lncRNA	gene	ENSMUSG00000120948
chr1	37217	ENSMUSG00000025937	Lactb2	protein_coding	gene	ENSMUSG00000025937
chr1	32953	ENSMUSG00000067813	Xkr9	protein_coding	gene	ENSMUSG00000067813
chr1	141282	ENSMUSG00000025932	Eya1	protein_coding	gene	ENSMUSG00000025932
chr1	23995	ENSMUSG00000054493	Gm9947	lncRNA	gene	ENSMUSG00000054493
chr1	2647	ENSMUSG00000025930	Msc	protein_coding	gene	ENSMUSG00000025930
chr1	46215	ENSMUSG00000032769	Trpa1	protein_coding	gene	ENSMUSG00000032769
chr1	436497	ENSMUSG00000092083	Kcnb2	protein_coding	gene	ENSMUSG00000092083
chr1	38407	ENSMUSG00000025925	Terf1	protein_coding	gene	ENSMUSG00000025925
chr1	38861	ENSMUSG00000032719	Sbspon	protein_coding	gene	ENSMUSG00000032719
chr1	27347	ENSMUSG00000067795	4930444P10Rik	protein_coding	gene	ENSMUSG00000067795
chr1	3368	ENSMUSG00000043716	Rpl7	protein_coding	gene	ENSMUSG00000043716
chr1	27961	ENSMUSG00000025921	Rdh10	protein_coding	gene	ENSMUSG00000025921
chr1	15557	ENSMUSG00000100868	Gm28095	lncRNA	gene	ENSMUSG00000100868
chr1	291439	ENSMUSG00000025920	Stau2	protein_coding	gene	ENSMUSG00000025920
chr1	14330	ENSMUSG00000089982	Gm7568	lncRNA	gene	ENSMUSG00000089982
chr1	78700	ENSMUSG00000025939	Ube2w	protein_coding	gene	ENSMUSG00000025939
chr1	15318	ENSMUSG00000079658	Eloc	protein_coding	gene	ENSMUSG00000079658
chr1	4727	ENSMUSG00000097744	D030040B21Rik	lncRNA	gene	ENSMUSG00000097744
chr1	13069	ENSMUSG00000025940	Tmem70	protein_coding	gene	ENSMUSG00000025940
chr1	21561	ENSMUSG00000025779	Ly96	protein_coding	gene	ENSMUSG00000025779
chr1	193447	ENSMUSG00000101640	Gm28376	lncRNA	gene	ENSMUSG00000101640
chr1	133330	ENSMUSG00000042686	Jph1	protein_coding	gene	ENSMUSG00000042686
chr1	4210	ENSMUSG00000100110	Gm28783	lncRNA	gene	ENSMUSG00000100110
chr1	18910	ENSMUSG00000025777	Gdap1	protein_coding	gene	ENSMUSG00000025777
chr1	4701	ENSMUSG00000099899	Gm28784	lncRNA	gene	ENSMUSG00000099899
chr1	29039	ENSMUSG00000067780	Pi15	protein_coding	gene	ENSMUSG00000067780
chr1	25998	ENSMUSG00000100053	Gm28154	lncRNA	gene	ENSMUSG00000100053
chr1	51620	ENSMUSG00000085125	Gm16070	lncRNA	gene	ENSMUSG00000085125
chr1	39300	ENSMUSG00000025776	Crispld1	protein_coding	gene	ENSMUSG00000025776
chr1	63503	ENSMUSG00000099895	Gm28153	lncRNA	gene	ENSMUSG00000099895
chr1	64595	ENSMUSG00000109887	Gm28756	lncRNA	gene	ENSMUSG00000109887
chr1	30712	ENSMUSG00000025774	Crisp4	protein_coding	gene	ENSMUSG00000025774
chr1	971	ENSMUSG00000073735	Defb18	protein_coding	gene	ENSMUSG00000073735
chr1	14159	ENSMUSG00000067773	Defb41	protein_coding	gene	ENSMUSG00000067773
chr1	41541	ENSMUSG00000089787	Gm15825	lncRNA	gene	ENSMUSG00000089787
chr1	63325	ENSMUSG00000042596	Tfap2d	protein_coding	gene	ENSMUSG00000042596
chr1	29663	ENSMUSG00000025927	Tfap2b	protein_coding	gene	ENSMUSG00000025927
chr1	1045	ENSMUSG00000100538	Gm28340	lncRNA	gene	ENSMUSG00000100538
chr1	560286	ENSMUSG00000043760	Pkhd1	protein_coding	gene	ENSMUSG00000043760
chr1	35849	ENSMUSG00000089914	4930486I03Rik	lncRNA	gene	ENSMUSG00000089914
chr1	14417	ENSMUSG00000099906	Lincmd1	lncRNA	gene	ENSMUSG00000099906
chr1	3592	ENSMUSG00000025929	Il17a	protein_coding	gene	ENSMUSG00000025929
chr1	13472	ENSMUSG00000041872	Il17f	protein_coding	gene	ENSMUSG00000041872
chr1	17345	ENSMUSG00000041859	Mcm3	protein_coding	gene	ENSMUSG00000041859
chr1	3029	ENSMUSG00000102121	Gm28065	lncRNA	gene	ENSMUSG00000102121
chr1	1824	ENSMUSG00000097934	6720483E21Rik	lncRNA	gene	ENSMUSG00000097934
chr1	49045	ENSMUSG00000025931	Paqr8	protein_coding	gene	ENSMUSG00000025931
chr1	39216	ENSMUSG00000041809	Efhc1	protein_coding	gene	ENSMUSG00000041809
chr1	82931	ENSMUSG00000041779	Tram2	protein_coding	gene	ENSMUSG00000041779
chr1	1635	ENSMUSG00000099971	Gm28287	lncRNA	gene	ENSMUSG00000099971
chr1	11593	ENSMUSG00000025933	Tmem14a	protein_coding	gene	ENSMUSG00000025933
chr1	25073	ENSMUSG00000025934	Gsta3	protein_coding	gene	ENSMUSG00000025934
chr1	21235	ENSMUSG00000099343	Gm28836	lncRNA	gene	ENSMUSG00000099343
chr1	40507	ENSMUSG00000121505	Gm4956	lncRNA	gene	ENSMUSG00000121505
chr1	2560	ENSMUSG00000067750	Khdc1a	protein_coding	gene	ENSMUSG00000067750
chr1	2515	ENSMUSG00000041722	Khdc1c	protein_coding	gene	ENSMUSG00000041722
chr1	2818	ENSMUSG00000085079	Khdc1b	protein_coding	gene	ENSMUSG00000085079
chr1	563540	ENSMUSG00000028033	Kcnq5	protein_coding	gene	ENSMUSG00000028033
chr1	488729	ENSMUSG00000041670	Rims1	protein_coding	gene	ENSMUSG00000041670
chr1	187379	ENSMUSG00000101227	Gm29506	lncRNA	gene	ENSMUSG00000101227
chr1	1781	ENSMUSG00000073730	Ppp1r14bl	protein_coding	gene	ENSMUSG00000073730
chr1	399	ENSMUSG00000097970	Gm27028	lncRNA	gene	ENSMUSG00000097970
chr1	347	ENSMUSG00000100775	Gm29107	lncRNA	gene	ENSMUSG00000100775
chr1	31349	ENSMUSG00000026158	Ogfrl1	protein_coding	gene	ENSMUSG00000026158
chr1	22078	ENSMUSG00000099503	Gm28822	lncRNA	gene	ENSMUSG00000099503
chr1	87406	ENSMUSG00000026156	B3gat2	protein_coding	gene	ENSMUSG00000026156
chr1	77472	ENSMUSG00000026155	Smap1	protein_coding	gene	ENSMUSG00000026155
chr1	9718	ENSMUSG00000026154	Sdhaf4	protein_coding	gene	ENSMUSG00000026154
chr1	89249	ENSMUSG00000026153	Fam135a	protein_coding	gene	ENSMUSG00000026153
chr1	75075	ENSMUSG00000026147	Col9a1	protein_coding	gene	ENSMUSG00000026147
chr1	325583	ENSMUSG00000026141	Col19a1	protein_coding	gene	ENSMUSG00000026141
chr1	87672	ENSMUSG00000073725	Lmbrd1	protein_coding	gene	ENSMUSG00000073725
chr1	1950	ENSMUSG00000100483	Gm28237	lncRNA	gene	ENSMUSG00000100483
chr1	652	ENSMUSG00000099392	Gm29414	lncRNA	gene	ENSMUSG00000099392
chr1	762232	ENSMUSG00000033569	Adgrb3	protein_coding	gene	ENSMUSG00000033569
chr1	5647	ENSMUSG00000073722	4931408C20Rik	protein_coding	gene	ENSMUSG00000073722
chr1	18845	ENSMUSG00000101514	Gm5524	lncRNA	gene	ENSMUSG00000101514
chr1	4136	ENSMUSG00000048411	Gm597	protein_coding	gene	ENSMUSG00000048411
chr1	1403	ENSMUSG00000053185	Gm9898	lncRNA	gene	ENSMUSG00000053185
chr1	71583	ENSMUSG00000048874	Phf3	protein_coding	gene	ENSMUSG00000048874
chr1	9008	ENSMUSG00000026064	Ptp4a1	protein_coding	gene	ENSMUSG00000026064
chr1	9469	ENSMUSG00000117310	Ptp4a1	protein_coding	gene	ENSMUSG00000117310
chr1	726	ENSMUSG00000117091	Gm5698	protein_coding	gene	ENSMUSG00000117091
chr1	224833	ENSMUSG00000086727	4931428L18Rik	protein_coding	gene	ENSMUSG00000086727
chr1	1757	ENSMUSG00000100237	Gm28644	lncRNA	gene	ENSMUSG00000100237
chr1	14080	ENSMUSG00000100910	Gm29128	lncRNA	gene	ENSMUSG00000100910
chr1	28325	ENSMUSG00000050217	Lgsn	protein_coding	gene	ENSMUSG00000050217
chr1	1451	ENSMUSG00000026063	Dnaaf6	protein_coding	gene	ENSMUSG00000026063
chr1	762	ENSMUSG00000094215	Gm6489	protein_coding	gene	ENSMUSG00000094215
chr1	485855	ENSMUSG00000026058	Khdrbs2	protein_coding	gene	ENSMUSG00000026058
chr1	3609	ENSMUSG00000091318	Semp2l1	protein_coding	gene	ENSMUSG00000091318
chr1	1221	ENSMUSG00000102917	Gm37724	lncRNA	gene	ENSMUSG00000102917
chr1	2702	ENSMUSG00000104230	Gm37591	lncRNA	gene	ENSMUSG00000104230
chr1	215986	ENSMUSG00000026134	Prim2	protein_coding	gene	ENSMUSG00000026134
chr1	676	ENSMUSG00000121274	Gm57180	lncRNA	gene	ENSMUSG00000121274
chr1	22678	ENSMUSG00000004768	Rab23	protein_coding	gene	ENSMUSG00000004768
chr1	12312	ENSMUSG00000042215	Bag2	protein_coding	gene	ENSMUSG00000042215
chr1	53051	ENSMUSG00000042197	Zfp451	protein_coding	gene	ENSMUSG00000042197
chr1	55765	ENSMUSG00000042182	Bend6	protein_coding	gene	ENSMUSG00000042182
chr1	400437	ENSMUSG00000026131	Dst	protein_coding	gene	ENSMUSG00000026131
chr1	12591	ENSMUSG00000096992	Gm26788	lncRNA	gene	ENSMUSG00000096992
chr1	875	ENSMUSG00000104397	Gm37958	lncRNA	gene	ENSMUSG00000104397
chr1	6339	ENSMUSG00000102336	Gm37233	lncRNA	gene	ENSMUSG00000102336
chr1	3003	ENSMUSG00000042111	Ccdc115	protein_coding	gene	ENSMUSG00000042111
chr1	5220	ENSMUSG00000101711	Gm28306	lncRNA	gene	ENSMUSG00000101711
chr1	9506	ENSMUSG00000026127	Imp4	protein_coding	gene	ENSMUSG00000026127
chr1	15972	ENSMUSG00000026126	Ptpn18	protein_coding	gene	ENSMUSG00000026126
chr1	4361	ENSMUSG00000100280	Gm28417	lncRNA	gene	ENSMUSG00000100280
chr1	8825	ENSMUSG00000101223	4930568A12Rik	lncRNA	gene	ENSMUSG00000101223
chr1	4654	ENSMUSG00000026125	Prss39	protein_coding	gene	ENSMUSG00000026125
chr1	8666	ENSMUSG00000026124	Cfc1	protein_coding	gene	ENSMUSG00000026124
chr1	16976	ENSMUSG00000037529	Prss40	protein_coding	gene	ENSMUSG00000037529
chr1	510	ENSMUSG00000045815	1700101I19Rik	lncRNA	gene	ENSMUSG00000045815
chr1	11288	ENSMUSG00000045174	Amer3	protein_coding	gene	ENSMUSG00000045174
chr1	135122	ENSMUSG00000037509	Arhgef4	protein_coding	gene	ENSMUSG00000037509
chr1	171	ENSMUSG00000118272	Gm55978	protein_coding	gene	ENSMUSG00000118272
chr1	2549	ENSMUSG00000104002	Gm38336	lncRNA	gene	ENSMUSG00000104002
chr1	29847	ENSMUSG00000037503	Fam168b	protein_coding	gene	ENSMUSG00000037503
chr1	29605	ENSMUSG00000026123	Plekhb2	protein_coding	gene	ENSMUSG00000026123
chr1	25692	ENSMUSG00000104417	Gm37068	lncRNA	gene	ENSMUSG00000104417
chr1	3489	ENSMUSG00000101714	Gm28415	lncRNA	gene	ENSMUSG00000101714
chr1	1275	ENSMUSG00000102531	1110002O04Rik	lncRNA	gene	ENSMUSG00000102531
chr1	4414	ENSMUSG00000102279	Gm37146	lncRNA	gene	ENSMUSG00000102279
